Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,1177.12,907,1177.12,25437.73,0.32,0.21,0.02,902310,2424437.3,0.65,0.09,211.98,1
Topic155517,839.51,945,839.51,78918.97,0.41,0.22,0.77,33814943,19847381.18,0.28,0.07,657.66,1
Topic155518,505.4,559,505.4,172623.38,0.32,0.13,0.0,423063,284290.5,0.55,0.09,1438.53,1
Topic155519,509.7,167,509.7,67836.42,0.08,0.04,0.0,97541,162364.47,0.61,0.09,565.3,1
Topic155522,857.28,371,857.28,121567.72,0.17,0.09,0.01,1784512,1211902.36,0.68,0.09,1013.06,1
Topic155527,1003.73,870,1003.73,65970.08,0.4,0.2,0.03,7368909,2068314.82,0.65,0.09,549.75,1
Topic155532,492.57,271,492.57,3486.0,0.22,0.06,0.0,281262,252287.27,0.59,0.09,29.05,1
Topic155533,481.85,154,481.85,5032.08,0.07,0.04,0.0,513466,1116630.95,0.53,0.08,41.93,1
Topic155557,1015.57,870,1015.57,7607.93,0.4,0.2,0.03,7368909,2169976.39,0.54,0.08,63.4,1
Topic155559,956.51,371,956.51,2193.77,0.17,0.09,0.01,1784512,932579.22,0.58,0.08,18.28,1
Topic155562,919.5,945,919.5,49018.78,0.41,0.22,0.77,33814943,14861974.4,0.47,0.08,408.49,1
Topic155575,631.23,559,631.23,2936.9,0.32,0.13,0.0,423063,486246.85,0.56,0.08,24.47,1
Topic163170,965.73,907,965.73,43866.5,0.32,0.21,0.02,902310,604920.52,0.64,0.09,365.55,1
Topic163371,566.1,291,566.1,23644.88,0.1,0.07,0.0,108450,1810644.07,0.56,0.08,197.04,1
Topic162975,525.59,79,525.59,283144.4,0.03,0.02,0.0,18260,635871.23,0.71,0.09,865.89,0
Topic163026,1062.52,1087,1062.52,430100.47,0.35,0.25,0.0,113659,1066925.89,0.78,0.09,1400.98,0
Topic155347,729.87,318,729.87,859802.53,0.1,0.07,0.0,74645,609013.75,0.74,0.09,2018.32,0
Topic155397,569.8,434,569.8,248452.87,0.17,0.1,0.0,89052,479969.74,0.7,0.09,955.59,0
Topic155561,485.6,459,485.6,759743.78,0.28,0.11,0.0,95140,248868.98,0.77,0.09,2116.28,0
Topic163104,848.76,690,848.76,123624.22,0.33,0.16,0.02,3042766,886403.26,0.72,0.09,269.33,0
Topic155360,390.77,1435,390.77,711290.52,0.45,0.34,0.01,432809,813180.74,0.71,0.09,4445.57,0
Topic163089,574.88,72,574.88,312038.05,0.03,0.02,0.0,109047,460289.42,0.87,0.09,333.37,0
Topic155528,401.01,459,401.01,496403.87,0.28,0.11,0.0,95140,162408.33,0.65,0.09,1671.39,0
Topic162813,918.76,1131,918.76,672231.78,0.47,0.27,0.0,265605,1205562.57,0.76,0.09,4871.24,0
Topic163178,731.19,1115,731.19,587468.03,0.36,0.26,0.01,231258,191564.75,0.65,0.09,3435.49,0
Topic155538,737.29,881,737.29,850793.38,0.36,0.21,0.01,376301,613676.24,0.88,0.09,947.43,0
Topic155526,466.15,240,466.15,1334406.45,0.11,0.06,0.0,25235,204488.68,0.77,0.09,3971.45,0
Topic155525,737.87,909,737.87,588919.62,0.29,0.21,0.0,67491,640887.98,0.78,0.09,2318.58,0
