Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,1177.12,907,1177.12,25437.73,0.32,0.21,0.02,902310,2424437.3,0.65,0.09,211.98,1
Topic155517,839.51,945,839.51,78918.97,0.41,0.22,0.77,33814943,19847381.18,0.28,0.07,657.66,1
Topic155518,505.4,559,505.4,172623.38,0.32,0.13,0.0,423063,284290.5,0.55,0.09,1438.53,1
Topic155519,509.7,167,509.7,67836.42,0.08,0.04,0.0,97541,162364.47,0.61,0.09,565.3,1
Topic155522,857.28,371,857.28,121567.72,0.17,0.09,0.01,1784512,1211902.36,0.68,0.09,1013.06,1
Topic155527,1003.73,870,1003.73,65970.08,0.4,0.2,0.03,7368909,2068314.82,0.65,0.09,549.75,1
Topic155532,492.57,271,492.57,3486.0,0.22,0.06,0.0,281262,252287.27,0.59,0.09,29.05,1
Topic155533,481.85,154,481.85,5032.08,0.07,0.04,0.0,513466,1116630.95,0.53,0.08,41.93,1
Topic155557,1015.57,870,1015.57,7607.93,0.4,0.2,0.03,7368909,2169976.39,0.54,0.08,63.4,1
Topic155559,956.51,371,956.51,2193.77,0.17,0.09,0.01,1784512,932579.22,0.58,0.08,18.28,1
Topic155562,919.5,945,919.5,49018.78,0.41,0.22,0.77,33814943,14861974.4,0.47,0.08,408.49,1
Topic155575,631.23,559,631.23,2936.9,0.32,0.13,0.0,423063,486246.85,0.56,0.08,24.47,1
Topic163170,965.73,907,965.73,43866.5,0.32,0.21,0.02,902310,604920.52,0.64,0.09,365.55,1
Topic163371,566.1,291,566.1,23644.88,0.1,0.07,0.0,108450,1810644.07,0.56,0.08,197.04,1
Topic155343,881.93,840,881.93,372857.02,0.36,0.2,0.0,98428,883445.26,0.74,0.09,1694.8,0
Topic155347,729.87,318,729.87,859802.53,0.1,0.07,0.0,74645,609013.75,0.74,0.09,2018.32,0
Topic155360,390.77,1435,390.77,711290.52,0.45,0.34,0.01,432809,813180.74,0.71,0.09,4445.57,0
Topic155363,254.51,58,254.51,439137.95,0.01,0.01,0.0,687,215396.02,0.57,0.09,2152.64,0
Topic155365,331.14,459,331.14,243572.23,0.28,0.11,0.0,95140,67925.95,0.61,0.09,1268.61,0
Topic155371,475.27,50,475.27,275424.38,0.01,0.01,0.0,7200,602238.93,0.74,0.09,688.56,0
Topic155389,548.9,61,548.9,582161.52,0.03,0.01,0.0,10151,290018.92,0.69,0.09,2328.65,0
Topic155397,569.8,434,569.8,248452.87,0.17,0.1,0.0,89052,479969.74,0.7,0.09,955.59,0
Topic155403,436.79,351,436.79,444412.86,0.18,0.08,0.0,49082,417588.99,0.62,0.09,903.28,0
Topic155404,537.42,514,537.42,99723.85,0.23,0.12,0.01,388702,466702.45,0.75,0.09,127.85,0
Topic155437,730.6,1394,730.6,100777.17,0.59,0.33,0.01,681751,677691.97,0.83,0.09,119.55,0
Topic155448,542.96,296,542.96,216276.4,0.1,0.07,0.0,30706,341952.94,0.72,0.09,605.82,0
Topic155498,709.89,712,709.89,276501.12,0.39,0.17,0.06,2530807,1225520.14,0.71,0.09,422.78,0
Topic155514,341.06,165,341.06,276814.97,0.11,0.04,0.0,19113,443519.78,0.71,0.09,364.23,0
Topic155516,738.02,425,738.02,254338.38,0.2,0.1,0.0,35430,422412.13,0.69,0.09,1883.99,0
Topic155520,473.23,78,473.23,242671.37,0.03,0.02,0.0,19246,440723.31,0.74,0.09,570.99,0
Topic155521,495.94,249,495.94,1299770.42,0.12,0.06,0.0,28555,249619.61,0.8,0.09,2753.75,0
Topic155523,569.29,238,569.29,332411.42,0.1,0.06,0.0,46820,528494.03,0.81,0.09,721.07,0
Topic155524,549.39,609,549.39,541594.77,0.33,0.14,0.02,1488073,810280.96,1.33,0.09,263.55,0
Topic155525,737.87,909,737.87,588919.62,0.29,0.21,0.0,67491,640887.98,0.78,0.09,2318.58,0
Topic155526,466.15,240,466.15,1334406.45,0.11,0.06,0.0,25235,204488.68,0.77,0.09,3971.45,0
Topic155528,401.01,459,401.01,496403.87,0.28,0.11,0.0,95140,162408.33,0.65,0.09,1671.39,0
