Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic159002,590.6,142,590.6,499785.0,0.03,0.03,0.01,5832,46542.73,0.45,0.02,5553.17,1
Topic159035,539.73,2019,539.73,1120083.0,0.42,0.41,0.22,186871,51890.67,0.61,0.02,12445.37,1
Topic159039,723.47,1844,723.47,130766.0,0.41,0.37,0.12,126442,41006.8,0.42,0.01,1452.96,1
Topic159043,853.07,1844,853.07,69285.0,0.41,0.37,0.12,126442,58796.4,0.47,0.01,769.83,1
Topic159134,934.07,1667,934.07,43335.0,0.41,0.34,0.34,271204,134963.67,0.35,0.01,481.5,1
Topic159135,502.4,122,502.4,901839.0,0.02,0.02,0.0,4416,40173.47,0.44,0.02,10020.43,1
Topic159635,751.13,847,751.13,93227.0,0.17,0.17,0.06,44466,64894.8,0.55,0.02,1035.86,1
Topic159719,643.8,2019,643.8,137800.0,0.42,0.41,0.22,186871,74273.27,0.5,0.01,1531.11,1
Topic159763,377.4,500,377.4,45410.0,0.27,0.1,0.0,25272,21197.8,0.29,0.03,504.56,1
Topic159764,547.07,438,547.07,44261.0,0.11,0.09,0.01,29445,45022.8,0.42,0.02,491.79,1
Topic159767,1189.67,2019,1189.67,17446.0,0.42,0.41,0.22,186871,86858.27,0.63,0.02,193.84,1
Topic159768,488.6,870,488.6,26200.0,0.39,0.18,0.01,75878,37187.33,0.34,0.02,291.11,1
Topic159778,464.2,1844,464.2,70144.0,0.41,0.37,0.12,126442,23052.27,0.4,0.01,779.38,1
Topic159950,1080.67,1844,1080.67,8691.0,0.41,0.37,0.12,126442,56482.93,0.41,0.01,96.57,1
Topic159959,1103.73,2081,1103.73,120906.0,0.64,0.42,0.26,272487,122624.13,0.61,0.02,1343.4,1
Topic159961,686.33,2081,686.33,53665.0,0.64,0.42,0.26,272487,51153.53,0.54,0.02,596.28,1
Topic159981,668.17,116,668.17,250072.0,0.02,0.02,0.02,21900,77528.5,0.29,0.01,2778.58,1
Topic159990,308.92,124,308.92,11369.0,0.03,0.03,0.08,41850,44042.07,0.43,0.01,126.32,1
Topic159994,397.67,502,397.67,21973.0,0.17,0.1,0.09,145089,62229.71,0.25,0.03,244.14,1
Topic159999,672.33,2019,672.33,184083.0,0.42,0.41,0.22,186871,58122.4,0.52,0.01,2045.37,1
Topic160157,326.19,100,326.19,24093.0,0.02,0.02,0.01,17550,23148.69,0.28,0.01,267.7,1
Topic160158,608.33,502,608.33,22358.0,0.17,0.1,0.09,145089,123254.0,0.34,0.02,248.42,1
Topic160159,911.83,1676,911.83,62162.0,0.4,0.34,0.11,134008,95995.37,0.43,0.01,690.69,1
Topic160230,688.5,145,688.5,944752.0,0.03,0.03,0.02,22815,75323.41,0.4,0.01,10497.24,1
Topic160251,451.94,107,451.94,727824.0,0.02,0.02,0.01,15990,57614.51,0.29,0.01,8086.93,1
Topic160270,501.87,847,501.87,77406.0,0.17,0.17,0.06,44466,27326.13,0.26,0.01,860.07,1
Topic160275,912.13,1667,912.13,46166.0,0.41,0.34,0.34,271204,85498.33,0.59,0.02,512.96,1
Topic158994,257.97,61,257.97,305665.0,0.01,0.01,0.01,11265,26429.84,0.76,0.03,399.04,0
Topic158998,356.61,47,356.61,349824.0,0.01,0.01,0.02,24030,33908.01,0.59,0.02,599.01,0
Topic159013,588.35,847,588.35,1154488.0,0.17,0.17,0.06,44466,43182.08,0.68,0.02,5200.4,0
Topic159018,348.66,2019,348.66,697050.0,0.42,0.41,0.22,186871,31205.47,0.72,0.02,2788.2,0
Topic159023,563.67,2019,563.67,1510927.0,0.42,0.41,0.22,186871,40602.99,0.82,0.03,3201.12,0
Topic159036,320.29,2019,320.29,602621.0,0.42,0.41,0.22,186871,23785.49,0.73,0.02,1484.29,0
Topic159037,548.93,1844,548.93,1215205.0,0.41,0.37,0.12,126442,39029.09,0.68,0.02,4710.1,0
Topic159038,160.0,518,160.0,269215.0,0.37,0.1,0.0,45789,9332.77,0.34,0.03,909.51,0
Topic159040,213.28,199,213.28,2036838.0,0.04,0.04,0.04,34810,18826.35,0.7,0.02,3417.51,0
Topic159049,303.91,105,303.91,583679.0,0.02,0.02,0.0,4164,24835.9,0.7,0.03,1945.6,0
Topic159133,233.3,870,233.3,343784.0,0.39,0.18,0.01,75878,16052.05,0.47,0.02,976.66,0
Topic159140,337.68,2019,337.68,999809.0,0.42,0.41,0.22,186871,23655.32,0.66,0.02,4877.12,0
Topic159141,294.35,2019,294.35,1458515.0,0.42,0.41,0.22,186871,19976.97,0.68,0.02,5719.67,0
Topic159146,292.26,165,292.26,1569360.0,0.04,0.03,0.01,13545,30642.58,0.58,0.02,2624.35,0
Topic159149,488.13,2019,488.13,1217829.0,0.42,0.41,0.22,186871,34194.76,0.74,0.02,4412.42,0
Topic159194,568.81,1844,568.81,1249888.0,0.41,0.37,0.12,126442,43172.38,0.71,0.03,3055.96,0
Topic159198,406.97,2019,406.97,885675.0,0.42,0.41,0.22,186871,29326.01,0.74,0.03,2597.29,0
Topic159202,284.11,2019,284.11,1529160.0,0.42,0.41,0.22,186871,22935.27,0.71,0.03,3951.32,0
Topic159204,142.03,870,142.03,386205.0,0.39,0.18,0.01,75878,8236.75,0.36,0.03,760.25,0
Topic159205,352.2,2019,352.2,715271.0,0.42,0.41,0.22,186871,30787.57,0.68,0.02,2740.5,0
Topic159207,385.48,2019,385.48,1786725.0,0.42,0.41,0.22,186871,27978.81,0.8,0.03,3482.89,0
Topic159209,196.79,870,196.79,355065.0,0.39,0.18,0.01,75878,13471.25,0.43,0.03,1443.35,0
Topic159242,706.82,2019,706.82,1132440.0,0.42,0.41,0.22,186871,51884.15,0.78,0.02,4839.49,0
Topic159253,523.91,1667,523.91,1341822.0,0.41,0.34,0.34,271204,45425.27,0.65,0.02,6776.88,0
Topic159256,314.77,2019,314.77,2118793.0,0.42,0.41,0.22,186871,24757.65,0.71,0.03,8865.24,0
Topic159257,424.12,1185,424.12,1630270.0,0.27,0.24,0.14,106293,43829.17,0.74,0.02,3453.96,0
Topic159263,140.66,870,140.66,253570.0,0.39,0.18,0.01,75878,8660.57,0.29,0.02,975.27,0
Topic159264,365.93,2019,365.93,2077402.0,0.42,0.41,0.22,186871,26008.2,0.6,0.02,11541.12,0
Topic159327,365.5,377,365.5,1711985.0,0.08,0.08,0.11,91802,38701.21,0.69,0.03,3908.64,0
Topic159355,365.21,268,365.21,1225791.0,0.06,0.05,0.02,24939,30402.33,0.69,0.02,1418.74,0
Topic159463,422.41,360,422.41,525516.0,0.12,0.07,0.01,16644,39651.23,0.72,0.02,1368.53,0
Topic159545,262.85,215,262.85,607572.0,0.05,0.04,0.03,35850,33633.26,0.54,0.02,929.01,0
Topic159549,389.21,215,389.21,574856.0,0.05,0.04,0.03,35850,44704.65,0.58,0.02,736.99,0
Topic159554,310.32,215,310.32,539678.0,0.05,0.04,0.03,35850,31948.67,0.58,0.02,679.7,0
Topic159555,247.79,873,247.79,131885.0,0.34,0.18,0.01,65608,25700.08,0.41,0.02,563.61,0
Topic159557,498.88,142,498.88,760685.0,0.03,0.03,0.01,5832,44960.24,0.7,0.02,3728.85,0
Topic159620,424.15,2019,424.15,1347200.0,0.42,0.41,0.22,186871,37207.04,0.72,0.03,5566.94,0
Topic159621,224.31,2019,224.31,1846964.0,0.42,0.41,0.22,186871,14407.37,0.53,0.03,8753.38,0
Topic159624,320.55,49,320.55,925402.0,0.01,0.01,0.01,8625,26735.22,0.43,0.03,2891.88,0
Topic159632,524.75,847,524.75,1353444.0,0.17,0.17,0.06,44466,33753.45,0.63,0.02,5639.35,0
Topic159636,435.14,2019,435.14,1093421.0,0.42,0.41,0.22,186871,30788.16,0.65,0.03,6212.62,0
Topic159723,331.22,2019,331.22,2091349.0,0.42,0.41,0.22,186871,26229.77,0.75,0.03,5362.43,0
Topic159726,293.64,2019,293.64,339978.0,0.42,0.41,0.22,186871,20275.58,0.6,0.03,1920.78,0
Topic159731,270.84,160,270.84,516058.0,0.03,0.03,0.03,32265,26942.69,0.65,0.02,564.0,0
Topic159772,367.37,2019,367.37,1061301.0,0.42,0.41,0.22,186871,25738.0,0.76,0.03,2337.67,0
Topic159773,120.64,30,120.64,171969.0,0.01,0.01,0.0,4575,8703.7,0.26,0.03,537.4,0
Topic159793,372.87,128,372.87,331265.0,0.05,0.03,0.0,4704,34418.43,0.58,0.02,920.18,0
Topic159839,200.44,360,200.44,340836.0,0.12,0.07,0.01,16644,21857.22,0.36,0.02,1775.19,0
