Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,1148.32,907,1148.32,32422.93,0.32,0.21,0.02,902310,2360655.69,0.69,0.09,216.15,1
Topic155517,817.61,945,817.61,79993.65,0.41,0.22,0.77,33814943,15941655.88,0.28,0.07,533.29,1
Topic155518,503.63,559,503.63,203498.4,0.32,0.13,0.0,423063,330093.95,0.58,0.09,1356.66,1
Topic155522,838.49,371,838.49,143419.78,0.17,0.09,0.01,1784512,1143052.83,0.69,0.09,956.13,1
Topic155527,1028.07,870,1028.07,67141.7,0.4,0.2,0.03,7368909,2010834.91,0.67,0.09,447.61,1
Topic155532,524.8,271,524.8,5609.63,0.22,0.06,0.0,281262,302795.31,0.6,0.09,37.4,1
Topic155557,1038.77,870,1038.77,11093.8,0.4,0.2,0.03,7368909,1897743.63,0.58,0.08,73.96,1
Topic155559,960.09,371,960.09,3088.13,0.17,0.09,0.01,1784512,866076.05,0.59,0.08,20.59,1
Topic155562,833.08,945,833.08,50111.13,0.41,0.22,0.77,33814943,11917218.9,0.48,0.08,334.07,1
Topic163170,986.8,907,986.8,50099.35,0.32,0.21,0.02,902310,619792.49,0.65,0.09,334.0,1
Topic163371,603.05,291,603.05,29470.98,0.1,0.07,0.0,108450,2079214.18,0.62,0.08,196.47,1
Topic163263,464.04,61,464.04,15460.25,0.03,0.01,0.0,2819,134041.54,0.59,0.08,190.87,0
Topic163022,923.14,24,923.14,401985.17,0.01,0.01,0.0,684,600290.17,0.68,0.09,4620.52,0
Topic9334,535.93,25,535.93,10505.87,0.01,0.01,0.0,300,195528.53,0.56,0.08,700.39,0
Topic47624,535.93,25,535.93,10505.87,0.01,0.01,0.0,300,195528.53,0.56,0.08,700.39,0
Topic54356,535.93,25,535.93,10505.87,0.01,0.01,0.0,300,195528.53,0.56,0.08,700.39,0
Topic88891,535.93,25,535.93,10505.87,0.01,0.01,0.0,300,195528.53,0.56,0.08,700.39,0
Topic114094,535.93,25,535.93,10505.87,0.01,0.01,0.0,300,195528.53,0.56,0.08,700.39,0
Topic162975,525.59,79,525.59,283144.4,0.03,0.02,0.0,18260,635871.23,0.71,0.09,865.89,0
Topic163026,1062.52,1087,1062.52,430100.47,0.35,0.25,0.0,113659,1066925.89,0.78,0.09,1400.98,0
Topic155347,729.87,318,729.87,859802.53,0.1,0.07,0.0,74645,609013.75,0.74,0.09,2018.32,0
Topic155397,569.8,434,569.8,248452.87,0.17,0.1,0.0,89052,479969.74,0.7,0.09,955.59,0
