Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic147092,1906.0,1906,1906.0,0.0,0.34,0.18,0.01,956336,956336.0,0.18,0.11,0.0,1
Topic147100,1449.0,1449,1449.0,0.0,0.28,0.14,0.52,6624316,6624316.0,0.14,0.1,0.0,1
Topic148845,2544.0,2544,2544.0,0.0,0.49,0.24,0.47,10182294,10182294.0,0.25,0.11,0.0,1
Topic148846,612.0,612,612.0,0.0,0.11,0.06,0.11,3089106,3089106.0,0.06,0.1,0.0,1
Topic148893,2002.0,2544,2002.0,537.0,0.49,0.24,0.47,10182294,6541985.26,0.39,0.12,5.97,1
Topic149535,1495.0,1495,1495.0,0.0,0.28,0.14,0.05,1456556,1456556.0,0.14,0.1,0.0,1
Topic149626,266.0,266,266.0,0.0,0.05,0.03,0.02,1337888,1337888.0,0.03,0.1,0.0,1
Topic149634,829.13,759,829.13,1542.0,0.15,0.07,0.01,492970,428255.16,0.3,0.11,17.13,1
Topic149704,978.24,2544,978.24,88860.0,0.49,0.24,0.47,10182294,2501070.13,0.36,0.12,987.33,1
Topic318262,912.77,309,912.77,7182.0,0.06,0.03,0.0,24034,165279.77,0.38,0.12,79.8,1
Topic319107,1275.84,1509,1275.84,5495.0,0.24,0.14,0.0,166571,113986.96,0.36,0.12,61.06,1
Topic319186,1035.46,1257,1035.46,7657.0,0.22,0.12,0.0,135371,107526.8,0.37,0.12,85.08,1
Topic319407,989.64,1047,989.64,23213.0,0.15,0.1,0.0,117835,90441.59,0.3,0.11,257.92,1
Topic320332,1248.82,1509,1248.82,14486.0,0.24,0.14,0.0,166571,194940.5,0.51,0.12,160.96,1
Topic320587,2139.5,3040,2139.5,2037.0,0.58,0.29,0.02,719935,434485.64,0.35,0.12,22.63,1
Topic320609,1209.74,453,1209.74,2865.0,0.07,0.04,0.0,9106,216149.14,0.48,0.12,31.83,1
Topic320708,2298.29,3040,2298.29,1942.0,0.58,0.29,0.02,719935,489275.7,0.42,0.12,21.58,1
Topic320731,1158.37,1257,1158.37,150244.0,0.22,0.12,0.0,135371,96084.41,0.38,0.12,1669.38,1
Topic320827,1304.5,1634,1304.5,169283.0,0.28,0.16,0.02,432019,254898.74,0.35,0.12,1880.92,1
Topic321012,1002.3,492,1002.3,63485.0,0.08,0.05,0.0,10276,97826.61,0.4,0.12,705.39,1
Topic322305,1845.33,3040,1845.33,1064.0,0.58,0.29,0.02,719935,363434.21,0.42,0.12,11.82,1
Topic319090,1144.13,35,1144.13,312389.0,0.0,0.0,0.0,357,633133.45,0.48,0.12,4165.19,0
Topic149635,693.16,542,693.16,4698467.0,0.08,0.05,0.01,226750,822864.02,0.68,0.12,3132.31,0
Topic148844,589.79,288,589.79,2961172.0,0.06,0.03,0.0,45988,413440.63,0.6,0.12,3655.77,0
Topic148907,368.23,396,368.23,3531191.0,0.07,0.04,0.0,48593,399357.88,0.39,0.12,10325.12,0
Topic149677,692.09,759,692.09,2995936.0,0.15,0.07,0.01,492970,484456.13,0.75,0.13,4801.18,0
Topic148927,835.03,784,835.03,3895304.0,0.13,0.08,0.0,188759,312277.03,0.63,0.12,3860.56,0
Topic158434,967.82,2544,967.82,2814758.0,0.49,0.24,0.47,10182294,1888932.9,0.59,0.12,12185.1,0
Topic158424,895.91,2544,895.91,2767979.0,0.49,0.24,0.47,10182294,1837247.27,0.57,0.12,20969.54,0
Topic147097,505.57,363,505.57,811798.0,0.07,0.03,0.02,422873,735407.94,0.55,0.12,484.08,0
Topic148982,825.63,2111,825.63,2104985.0,0.42,0.2,0.01,403980,448389.02,0.68,0.13,2357.21,0
Topic148804,673.76,304,673.76,1825790.0,0.05,0.03,0.0,89869,359169.69,0.54,0.12,4003.93,0
Topic320645,1027.18,1509,1027.18,222345.0,0.24,0.14,0.0,166571,90849.84,0.53,0.12,2179.85,0
Topic23848,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic36479,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic96259,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic135362,652.67,1724,652.67,7262.97,0.35,0.17,0.0,206796,159604.97,0.44,0.12,242.1,0
Topic320545,860.02,1724,860.02,7313.0,0.35,0.17,0.0,206796,105689.69,0.45,0.12,117.95,0
Topic320424,862.37,1046,862.37,526892.0,0.2,0.1,0.0,94642,190072.78,0.5,0.12,4354.48,0
Topic318893,1024.37,1254,1024.37,1453.0,0.25,0.12,0.11,1648192,260700.31,0.48,0.12,21.69,0
Topic149702,671.48,2009,671.48,3309490.0,0.39,0.19,0.0,203120,720355.78,0.49,0.12,14515.31,0
Topic318171,959.37,2544,959.37,768598.0,0.49,0.24,0.47,10182294,1047301.96,0.44,0.12,9729.09,0
