Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic164601,544.12,1383,544.12,280758.62,0.62,0.45,0.09,27973,6354.03,0.81,0.18,1871.72,1
Topic164611,495.55,248,495.55,34127.32,0.09,0.08,0.02,1766,6492.96,0.85,0.15,227.52,1
Topic164612,543.15,711,543.15,35892.43,0.31,0.23,0.07,9301,6645.25,0.85,0.16,239.28,1
Topic164620,491.36,1383,491.36,290070.6,0.62,0.45,0.09,27973,5535.47,0.83,0.18,1933.8,1
Topic164828,332.17,548,332.17,38185.78,0.38,0.18,0.02,14510,4858.95,0.47,0.18,254.57,1
Topic164835,429.55,1193,429.55,20078.3,0.45,0.39,0.42,27505,5389.59,0.71,0.15,133.86,1
Topic168010,493.39,1383,493.39,341182.9,0.62,0.45,0.09,27973,5511.99,0.76,0.18,2274.55,1
Topic168014,587.98,1828,587.98,136821.07,0.77,0.59,0.41,61399,7834.06,0.83,0.18,912.14,1
Topic217098,557.01,1828,557.01,226355.3,0.77,0.59,0.41,61399,7214.59,0.87,0.18,1509.04,1
Topic217111,590.67,1193,590.67,255719.92,0.45,0.39,0.42,27505,7058.01,0.9,0.18,1704.8,1
Topic217115,525.74,550,525.74,177072.2,0.27,0.18,0.02,7431,6866.99,0.91,0.19,1180.48,1
Topic165590,588.74,894,588.74,505493.47,0.37,0.29,0.17,10464,8369.09,0.84,0.17,3918.55,0
Topic164622,429.14,894,429.14,2093499.42,0.37,0.29,0.17,10464,5114.37,0.96,0.2,5981.43,0
Topic165467,583.5,894,583.5,568864.78,0.37,0.29,0.17,10464,8975.8,0.87,0.17,8619.16,0
Topic164215,374.21,894,374.21,1912778.4,0.37,0.29,0.17,10464,4596.5,0.91,0.2,5197.77,0
Topic166020,506.48,1193,506.48,2812.1,0.45,0.39,0.42,27505,8700.59,0.83,0.16,32.7,0
Topic164827,477.2,208,477.2,2318494.88,0.08,0.07,0.05,3472,5970.25,0.94,0.2,7479.02,0
Topic165208,356.62,523,356.62,1289536.2,0.19,0.17,0.12,8892,4690.98,0.92,0.18,3943.54,0
Topic165744,368.22,894,368.22,807128.77,0.37,0.29,0.17,10464,5034.22,0.63,0.17,11210.12,0
Topic164511,473.05,662,473.05,1421012.25,0.24,0.21,0.05,7795,6171.4,0.86,0.19,9601.43,0
Topic165236,515.73,1193,515.73,56186.57,0.45,0.39,0.42,27505,10134.45,0.76,0.15,638.48,0
Topic164217,470.8,894,470.8,1746651.82,0.37,0.29,0.17,10464,5858.61,0.87,0.18,6445.21,0
