Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,1163.5,907,1163.5,18719.28,0.32,0.21,0.02,902310,2429059.3,0.63,0.08,311.99,1
Topic155514,618.35,165,618.35,3737.73,0.11,0.04,0.0,19113,991751.92,0.45,0.08,62.3,1
Topic155517,857.02,945,857.02,28544.43,0.41,0.22,0.77,33814943,22622601.03,0.24,0.07,475.74,1
Topic155518,553.85,559,553.85,127651.43,0.32,0.13,0.0,423063,292627.3,0.44,0.08,2127.52,1
Topic155519,564.85,167,564.85,62828.25,0.08,0.04,0.0,97541,202840.68,0.56,0.08,1047.14,1
Topic155521,569.3,249,569.3,110803.85,0.12,0.06,0.0,28555,231474.95,0.55,0.08,1846.73,1
Topic155522,887.9,371,887.9,60065.48,0.17,0.09,0.01,1784512,1171670.75,0.61,0.09,1001.09,1
Topic155524,694.65,609,694.65,47744.53,0.33,0.14,0.02,1488073,1336122.85,0.37,0.08,795.74,1
Topic155525,815.43,909,815.43,177410.43,0.29,0.21,0.0,67491,456750.33,0.66,0.09,2956.84,1
Topic155527,991.13,870,991.13,41885.75,0.4,0.2,0.03,7368909,2295632.75,0.57,0.08,698.1,1
Topic155532,582.55,271,582.55,1278.23,0.22,0.06,0.0,281262,306356.7,0.56,0.09,21.3,1
Topic155533,523.85,154,523.85,1807.33,0.07,0.04,0.0,513466,1121171.9,0.49,0.08,30.12,1
Topic155534,569.97,432,569.97,31275.25,0.34,0.1,0.0,38798,216052.05,0.6,0.09,521.25,1
Topic155536,814.6,378,814.6,3983.58,0.25,0.09,0.0,152441,944715.35,0.59,0.09,66.39,1
Topic155538,787.15,881,787.15,183083.4,0.36,0.21,0.01,376301,261660.5,0.44,0.08,3051.39,1
Topic155539,519.25,134,519.25,103165.57,0.07,0.03,0.0,32064,263562.15,0.51,0.08,1719.43,1
Topic155555,357.48,95,357.48,2576.15,0.06,0.02,0.0,71725,202814.25,0.52,0.09,42.94,1
Topic155557,1074.23,870,1074.23,1900.0,0.4,0.2,0.03,7368909,2272407.12,0.52,0.08,31.67,1
Topic155559,923.78,371,923.78,1013.28,0.17,0.09,0.01,1784512,969335.15,0.55,0.08,16.89,1
Topic155562,1007.4,945,1007.4,48209.37,0.41,0.22,0.77,33814943,22607958.0,0.45,0.08,803.49,1
Topic155564,810.35,881,810.35,125490.67,0.36,0.21,0.01,376301,372829.25,0.6,0.08,2091.51,1
Topic155567,977.05,619,977.05,7202.73,0.32,0.15,0.0,56612,646409.3,0.61,0.08,120.05,1
Topic155573,318.03,273,318.03,2866.18,0.11,0.06,0.0,186133,162274.27,0.18,0.08,47.77,1
Topic155575,666.4,559,666.4,2893.9,0.32,0.13,0.0,423063,496469.95,0.55,0.08,48.23,1
Topic155598,565.57,79,565.57,1933.17,0.02,0.02,0.0,5570,406201.95,0.47,0.08,32.22,1
Topic155638,547.93,273,547.93,10544.33,0.11,0.06,0.0,186133,587912.47,0.48,0.08,175.74,1
Topic162632,706.4,83,706.4,15337.92,0.04,0.02,0.0,27812,228558.47,0.59,0.08,255.63,1
Topic162787,668.15,881,668.15,49657.77,0.36,0.21,0.01,376301,422278.15,0.6,0.09,827.63,1
Topic163089,923.43,72,923.43,1290.75,0.03,0.02,0.0,109047,739735.87,0.5,0.08,21.51,1
Topic163170,950.28,907,950.28,16390.0,0.32,0.21,0.02,902310,553436.4,0.6,0.08,273.17,1
Topic163173,366.02,106,366.02,45855.72,0.02,0.02,0.0,16550,5709651.67,0.26,0.07,764.26,1
Topic163371,568.6,291,568.6,13898.3,0.1,0.07,0.0,108450,1824615.15,0.5,0.08,231.64,1
Topic221569,545.05,870,545.05,228.55,0.4,0.2,0.03,7368909,1526850.22,0.38,0.08,3.81,1
Topic221612,164.82,150,164.82,407.28,0.14,0.04,0.0,57663,34673.13,0.14,0.08,6.79,1
Topic221618,411.18,172,411.18,1167.58,0.2,0.04,0.0,46703,186546.77,0.55,0.09,19.46,1
Topic155343,881.93,840,881.93,372857.02,0.36,0.2,0.0,98428,883445.26,0.74,0.09,1694.8,0
Topic155347,729.87,318,729.87,859802.53,0.1,0.07,0.0,74645,609013.75,0.74,0.09,2018.32,0
Topic155360,390.77,1435,390.77,711290.52,0.45,0.34,0.01,432809,813180.74,0.71,0.09,4445.57,0
Topic155363,254.51,58,254.51,439137.95,0.01,0.01,0.0,687,215396.02,0.57,0.09,2152.64,0
Topic155365,331.14,459,331.14,243572.23,0.28,0.11,0.0,95140,67925.95,0.61,0.09,1268.61,0
Topic155371,475.27,50,475.27,275424.38,0.01,0.01,0.0,7200,602238.93,0.74,0.09,688.56,0
Topic155389,548.9,61,548.9,582161.52,0.03,0.01,0.0,10151,290018.92,0.69,0.09,2328.65,0
Topic155397,569.8,434,569.8,248452.87,0.17,0.1,0.0,89052,479969.74,0.7,0.09,955.59,0
Topic155403,436.79,351,436.79,444412.86,0.18,0.08,0.0,49082,417588.99,0.62,0.09,903.28,0
Topic155404,537.42,514,537.42,99723.85,0.23,0.12,0.01,388702,466702.45,0.75,0.09,127.85,0
Topic155437,730.6,1394,730.6,100777.17,0.59,0.33,0.01,681751,677691.97,0.83,0.09,119.55,0
Topic155448,542.96,296,542.96,216276.4,0.1,0.07,0.0,30706,341952.94,0.72,0.09,605.82,0
Topic155498,709.89,712,709.89,276501.12,0.39,0.17,0.06,2530807,1225520.14,0.71,0.09,422.78,0
Topic155516,738.02,425,738.02,254338.38,0.2,0.1,0.0,35430,422412.13,0.69,0.09,1883.99,0
Topic155520,473.23,78,473.23,242671.37,0.03,0.02,0.0,19246,440723.31,0.74,0.09,570.99,0
Topic155523,569.29,238,569.29,332411.42,0.1,0.06,0.0,46820,528494.03,0.81,0.09,721.07,0
Topic155526,466.15,240,466.15,1334406.45,0.11,0.06,0.0,25235,204488.68,0.77,0.09,3971.45,0
Topic155528,401.01,459,401.01,496403.87,0.28,0.11,0.0,95140,162408.33,0.65,0.09,1671.39,0
Topic155535,292.41,43,292.41,166566.62,0.02,0.01,0.0,49282,389283.02,0.58,0.09,282.8,0
Topic155540,575.2,107,575.2,466477.13,0.04,0.03,0.0,17087,1057891.04,0.73,0.09,1332.79,0
Topic155543,258.28,150,258.28,195095.82,0.07,0.04,0.0,22794,52785.48,0.57,0.09,497.69,0
Topic155549,426.93,86,426.93,551832.08,0.04,0.02,0.0,23127,235294.65,0.69,0.09,1452.19,0
Topic155553,626.26,142,626.26,419070.0,0.06,0.03,0.0,17028,556126.65,0.75,0.09,1069.06,0
Topic155558,708.47,167,708.47,1322406.63,0.08,0.04,0.0,97541,1287284.42,0.74,0.09,4706.07,0
Topic155560,471.33,661,471.33,298619.88,0.26,0.15,0.0,244061,541473.81,0.63,0.09,646.36,0
Topic155561,485.6,459,485.6,759743.78,0.28,0.11,0.0,95140,248868.98,0.77,0.09,2116.28,0
Topic155563,616.15,238,616.15,418233.95,0.1,0.06,0.0,46820,760072.25,0.73,0.09,2236.55,0
Topic155566,586.15,909,586.15,617513.97,0.29,0.21,0.0,67491,276455.57,0.69,0.09,5369.69,0
Topic155568,375.07,240,375.07,1327276.07,0.11,0.06,0.0,25235,152371.71,0.64,0.08,6116.48,0
Topic155569,502.21,249,502.21,1300168.53,0.12,0.06,0.0,28555,272620.15,0.66,0.09,6915.79,0
Topic155577,372.76,902,372.76,1389687.63,0.22,0.21,0.04,601278,213770.73,0.66,0.08,4679.08,0
Topic155602,503.93,242,503.93,95903.57,0.12,0.06,0.0,24079,1036503.35,0.61,0.09,288.0,0
Topic155611,646.13,588,646.13,133321.72,0.32,0.14,0.01,275944,637062.83,0.72,0.09,246.89,0
Topic155639,507.42,232,507.42,129685.2,0.09,0.05,0.0,38075,424230.27,0.7,0.09,308.77,0
Topic162630,448.41,197,448.41,569662.05,0.08,0.05,0.0,145118,378833.23,0.76,0.09,765.67,0
Topic162640,308.45,197,308.45,124549.35,0.08,0.05,0.0,145118,206616.47,0.59,0.08,395.39,0
Topic162766,516.1,197,516.1,259779.58,0.08,0.05,0.0,145118,467809.58,0.66,0.09,627.49,0
