Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic164215,471.73,894,471.73,14983.43,0.37,0.29,0.17,10464,5981.0,0.63,0.15,166.48,1
Topic164222,553.36,1383,553.36,43127.1,0.62,0.45,0.09,27973,7346.11,0.66,0.16,479.19,1
Topic164495,519.59,1828,519.59,67773.92,0.77,0.59,0.41,61399,7215.42,0.81,0.16,753.04,1
Topic164509,493.1,1828,493.1,27112.08,0.77,0.59,0.41,61399,7983.51,0.74,0.17,301.25,1
Topic164520,591.23,248,591.23,54494.72,0.09,0.08,0.02,1766,9143.0,0.82,0.16,605.5,1
Topic164536,378.74,1828,378.74,57436.13,0.77,0.59,0.41,61399,7430.37,0.73,0.16,638.18,1
Topic164597,430.9,481,430.9,285418.03,0.22,0.16,0.03,11606,4840.6,0.63,0.18,3171.31,1
Topic164598,454.34,758,454.34,251050.98,0.41,0.25,0.04,12517,5144.57,0.65,0.19,2789.46,1
Topic164599,465.73,758,465.73,159395.23,0.41,0.25,0.04,12517,5072.44,0.72,0.18,1771.06,1
Topic164601,625.93,1383,625.93,75363.3,0.62,0.45,0.09,27973,7768.12,0.77,0.17,837.37,1
Topic164604,541.79,809,541.79,80977.1,0.33,0.26,0.17,14068,6488.92,0.78,0.16,899.75,1
Topic164611,500.83,248,500.83,12028.15,0.09,0.08,0.02,1766,6263.4,0.71,0.15,133.65,1
Topic164612,602.43,711,602.43,20892.08,0.31,0.23,0.07,9301,8301.71,0.82,0.16,232.13,1
Topic164620,596.18,1383,596.18,111125.75,0.62,0.45,0.09,27973,7330.84,0.77,0.17,1234.73,1
Topic164622,430.99,894,430.99,8697.22,0.37,0.29,0.17,10464,5855.46,0.81,0.17,96.64,1
Topic164625,457.36,268,457.36,28783.5,0.13,0.09,0.02,2676,7015.1,0.82,0.16,319.82,1
Topic164744,535.84,1828,535.84,81900.85,0.77,0.59,0.41,61399,8658.93,0.72,0.16,910.01,1
Topic164746,559.87,1828,559.87,134660.78,0.77,0.59,0.41,61399,9351.72,0.73,0.17,1496.23,1
Topic164748,596.36,1828,596.36,5776.65,0.77,0.59,0.41,61399,9638.22,0.79,0.17,64.19,1
Topic164827,608.39,208,608.39,92247.92,0.08,0.07,0.05,3472,7763.77,0.75,0.15,1024.98,1
Topic164828,364.42,548,364.42,27350.08,0.38,0.18,0.02,14510,5624.62,0.35,0.17,303.89,1
Topic164830,492.61,1828,492.61,37024.82,0.77,0.59,0.41,61399,7880.22,0.73,0.17,411.39,1
Topic164832,491.4,1193,491.4,19135.37,0.45,0.39,0.42,27505,7262.4,0.63,0.15,212.62,1
Topic164835,418.18,1193,418.18,9010.6,0.45,0.39,0.42,27505,5381.81,0.66,0.15,100.12,1
Topic164837,476.82,1193,476.82,139660.47,0.45,0.39,0.42,27505,6104.12,0.85,0.16,1551.78,1
Topic164843,448.19,548,448.19,51312.23,0.38,0.18,0.02,14510,6172.03,0.71,0.18,570.14,1
Topic164844,552.59,1161,552.59,327393.13,0.52,0.38,0.16,17265,6127.99,0.8,0.17,3637.7,1
Topic165204,416.7,655,416.7,16905.7,0.24,0.21,0.1,9809,5773.08,0.69,0.15,187.84,1
Topic165208,166.31,523,166.31,6834.0,0.19,0.17,0.12,8892,2395.09,0.34,0.14,75.93,1
Topic166114,450.96,359,450.96,72628.85,0.12,0.12,0.03,5285,4948.7,0.66,0.16,806.99,1
