Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic159039,694.5,1844,694.5,155202.0,0.41,0.37,0.12,126442,40731.05,0.44,0.01,1293.35,1
Topic159043,869.2,1844,869.2,89026.0,0.41,0.37,0.12,126442,66565.05,0.55,0.01,741.88,1
Topic159134,890.7,1667,890.7,52600.0,0.41,0.34,0.34,271204,129619.2,0.35,0.01,438.33,1
Topic159135,548.1,122,548.1,916316.0,0.02,0.02,0.0,4416,43512.75,0.51,0.02,7635.97,1
Topic159719,710.55,2019,710.55,166150.0,0.42,0.41,0.22,186871,75385.65,0.5,0.01,1384.58,1
Topic159764,470.7,438,470.7,51227.0,0.11,0.09,0.01,29445,36124.2,0.42,0.02,426.89,1
Topic159767,1082.0,2019,1082.0,35681.0,0.42,0.41,0.22,186871,74245.1,0.64,0.02,297.34,1
Topic159768,466.65,870,466.65,35401.0,0.39,0.18,0.01,75878,34624.25,0.34,0.02,295.01,1
Topic159778,508.2,1844,508.2,79763.0,0.41,0.37,0.12,126442,30118.8,0.44,0.01,664.69,1
Topic159950,1051.25,1844,1051.25,9204.0,0.41,0.37,0.12,126442,58501.4,0.44,0.01,76.7,1
Topic159959,989.35,2081,989.35,130860.0,0.64,0.42,0.26,272487,102908.8,0.62,0.02,1090.5,1
Topic159961,608.45,2081,608.45,68948.0,0.64,0.42,0.26,272487,44333.65,0.55,0.02,574.57,1
Topic159990,260.32,124,260.32,24411.0,0.03,0.03,0.08,41850,37953.43,0.43,0.01,203.43,1
Topic160158,594.96,502,594.96,28082.0,0.17,0.1,0.09,145089,109124.77,0.37,0.02,234.02,1
Topic160159,815.91,1676,815.91,114267.0,0.4,0.34,0.11,134008,84041.38,0.43,0.01,952.23,1
Topic160230,611.48,145,611.48,944991.0,0.03,0.03,0.02,22815,66814.73,0.43,0.02,7874.93,1
Topic160275,790.35,1667,790.35,61436.0,0.41,0.34,0.34,271204,68935.1,0.59,0.02,511.97,1
Topic159037,548.93,1844,548.93,1215205.0,0.41,0.37,0.12,126442,39029.09,0.68,0.02,4710.1,0
Topic159256,314.77,2019,314.77,2118793.0,0.42,0.41,0.22,186871,24757.65,0.71,0.03,8865.24,0
Topic159949,374.04,2019,374.04,1439676.0,0.42,0.41,0.22,186871,28156.22,0.79,0.03,3363.73,0
Topic159149,488.13,2019,488.13,1217829.0,0.42,0.41,0.22,186871,34194.76,0.74,0.02,4412.42,0
Topic159723,331.22,2019,331.22,2091349.0,0.42,0.41,0.22,186871,26229.77,0.75,0.03,5362.43,0
Topic159023,563.67,2019,563.67,1510927.0,0.42,0.41,0.22,186871,40602.99,0.82,0.03,3201.12,0
Topic159899,556.42,847,556.42,1083589.0,0.17,0.17,0.06,44466,37064.54,0.78,0.02,2376.29,0
Topic160281,392.36,68,392.36,1304472.0,0.01,0.01,0.01,10635,35787.18,0.78,0.02,1801.76,0
Topic160024,532.93,664,532.93,481095.0,0.18,0.13,0.03,50544,54229.5,0.51,0.02,2672.75,0
Topic160265,173.39,1399,173.39,493802.0,0.57,0.28,0.04,112045,10700.4,0.38,0.02,2456.73,0
Topic160257,198.22,276,198.22,220484.0,0.15,0.06,0.0,13686,12237.46,0.45,0.03,720.54,0
Topic159263,140.66,870,140.66,253570.0,0.39,0.18,0.01,75878,8660.57,0.29,0.02,975.27,0
Topic160160,331.13,2081,331.13,887436.0,0.64,0.42,0.26,272487,32042.08,0.7,0.02,2506.88,0
Topic159140,337.68,2019,337.68,999809.0,0.42,0.41,0.22,186871,23655.32,0.66,0.02,4877.12,0
Topic159953,361.58,2019,361.58,471604.0,0.42,0.41,0.22,186871,27606.68,0.68,0.02,1492.42,0
Topic159133,233.3,870,233.3,343784.0,0.39,0.18,0.01,75878,16052.05,0.47,0.02,976.66,0
Topic159002,435.24,142,435.24,712889.0,0.03,0.03,0.01,5832,32540.49,0.66,0.03,1120.89,0
