Topic,F1,F2,F3,F4,F5,F6,F7,F8,F9,F12,F14,F15,Class
Topic155445,914.73,907,914.73,64606.1,0.32,0.21,0.02,902310,934736.97,0.69,0.09,2153.54,1
Topic155514,457.57,165,457.57,76458.78,0.11,0.04,0.0,19113,539334.2,0.54,0.08,2548.63,1
Topic155517,738.07,945,738.07,125569.93,0.41,0.22,0.77,33814943,1328359.97,0.45,0.08,4185.66,1
Topic155518,501.1,559,501.1,204460.68,0.32,0.13,0.0,423063,276085.7,0.57,0.09,6815.36,1
Topic155519,743.2,167,743.2,128829.03,0.08,0.04,0.0,97541,564316.8,0.62,0.09,4294.3,1
Topic155521,580.8,249,580.8,470304.48,0.12,0.06,0.0,28555,257677.7,0.63,0.09,15676.82,1
Topic155522,983.93,371,983.93,164963.72,0.17,0.09,0.01,1784512,839006.17,0.67,0.09,5498.79,1
Topic155524,533.8,609,533.8,171352.4,0.33,0.14,0.02,1488073,255622.47,0.54,0.09,5711.75,1
Topic155525,729.6,909,729.6,176114.43,0.29,0.21,0.0,67491,480316.37,0.65,0.09,5870.48,1
Topic155527,922.5,870,922.5,66631.5,0.4,0.2,0.03,7368909,735107.97,0.63,0.09,2221.05,1
Topic155532,592.23,271,592.23,5757.92,0.22,0.06,0.0,281262,312062.7,0.59,0.09,191.93,1
Topic155533,702.23,154,702.23,19213.72,0.07,0.04,0.0,513466,690493.23,0.64,0.09,640.46,1
Topic155534,567.4,432,567.4,32008.58,0.34,0.1,0.0,38798,269180.7,0.6,0.09,1066.95,1
Topic155536,609.7,378,609.7,32602.63,0.25,0.09,0.0,152441,601388.5,0.65,0.09,1086.75,1
Topic155538,809.7,881,809.7,459928.93,0.36,0.21,0.01,376301,977650.57,0.63,0.09,15330.96,1
Topic155539,626.93,134,626.93,322091.17,0.07,0.03,0.0,32064,351682.17,0.61,0.08,10736.37,1
Topic155555,566.43,95,566.43,34843.13,0.06,0.02,0.0,71725,365407.8,0.63,0.09,1161.44,1
Topic155557,989.4,870,989.4,101623.12,0.4,0.2,0.03,7368909,699059.27,0.61,0.09,3387.44,1
Topic155559,964.6,371,964.6,124816.97,0.17,0.09,0.01,1784512,1020330.8,0.64,0.09,4160.57,1
Topic155562,678.43,945,678.43,90988.2,0.41,0.22,0.77,33814943,1763138.5,0.55,0.08,3032.94,1
Topic155564,583.9,881,583.9,357237.35,0.36,0.21,0.01,376301,269727.23,0.62,0.09,11907.91,1
Topic155567,861.93,619,861.93,18497.57,0.32,0.15,0.0,56612,567890.7,0.69,0.09,616.59,1
Topic155573,258.03,273,258.03,113593.25,0.11,0.06,0.0,186133,158646.0,0.4,0.09,3786.44,1
Topic155575,691.67,559,691.67,86792.32,0.32,0.13,0.0,423063,501469.93,0.64,0.09,2893.08,1
Topic155598,883.83,79,883.83,254598.1,0.02,0.02,0.0,5570,989935.63,0.63,0.09,8486.6,1
Topic155638,527.0,273,527.0,118128.62,0.11,0.06,0.0,186133,458444.8,0.52,0.09,3937.62,1
